City,2021-03-26 10:06 UTC,2021-03-26 10:23 UTC,2021-03-26 10:27 UTC,2021-03-26 10:47 UTC,2021-03-26 12:25 UTC,2021-03-26 12:36 UTC,2021-03-26 12:47 UTC,2021-03-26 12:58 UTC,2021-03-26 13:09 UTC,2021-03-26 13:20 UTC,2021-03-26 13:31 UTC,2021-03-26 13:42 UTC,2021-03-26 13:53 UTC,2021-03-26 14:04 UTC,2021-03-26 14:15 UTC,2021-03-26 14:26 UTC,2021-03-26 14:37 UTC,2021-03-26 14:48 UTC,2021-03-26 15:00 UTC,2021-03-26 15:11 UTC,2021-03-26 15:22 UTC,2021-03-26 15:33 UTC,2021-03-26 15:44 UTC,2021-03-26 15:55 UTC,2021-03-26 16:06 UTC,2021-03-26 16:17 UTC,2021-03-26 16:28 UTC,2021-03-26 16:39 UTC,2021-03-26 16:50 UTC,2021-03-26 17:01 UTC,2021-03-26 17:12 UTC,2021-03-26 17:23 UTC,2021-03-26 17:34 UTC,2021-03-26 17:45 UTC,2021-03-26 17:56 UTC,2021-03-26 18:07 UTC,2021-03-26 18:18 UTC,2021-03-26 18:29 UTC,2021-03-26 18:40 UTC,2021-03-26 18:51 UTC,2021-03-26 19:02 UTC,2021-03-26 19:13 UTC,2021-03-26 19:35 UTC,2021-03-26 19:46 UTC,2021-03-26 19:57 UTC,2021-03-26 20:08 UTC,2021-03-26 20:15 UTC,2021-03-26 20:16 UTC,2021-03-26 20:18 UTC,2021-03-26 20:19 UTC,2021-03-26 20:30 UTC,2021-03-26 20:43 UTC,2021-03-26 20:54 UTC,2021-03-26 21:05 UTC,2021-03-26 21:16 UTC,2021-03-26 21:27 UTC,2021-03-26 21:44 UTC,2021-03-26 21:55 UTC,2021-03-26 22:06 UTC,2021-03-26 22:17 UTC,2021-03-26 22:28 UTC,2021-03-26 22:39 UTC,2021-03-26 22:50 UTC,2021-03-26 23:01 UTC,2021-03-26 23:12 UTC,2021-03-26 23:23 UTC,2021-03-26 23:48 UTC,2021-03-26 23:59 UTC,2021-03-27 00:10 UTC,2021-03-27 00:32 UTC,2021-03-27 00:43 UTC,2021-03-27 00:54 UTC,2021-03-27 01:05 UTC,2021-03-27 01:17 UTC,2021-03-27 01:28 UTC,2021-03-27 01:39 UTC,2021-03-27 01:50 UTC,2021-03-27 02:01 UTC,2021-03-27 02:09 UTC,2021-03-27 02:20 UTC,2021-03-27 02:31 UTC,2021-03-27 02:42 UTC,2021-03-27 02:53 UTC,2021-03-27 03:04 UTC,2021-03-27 03:15 UTC,2021-03-27 03:26 UTC,2021-03-27 03:37 UTC,2021-03-27 03:48 UTC,2021-03-27 03:59 UTC,2021-03-27 04:10 UTC,2021-03-27 04:22 UTC,2021-03-27 04:33 UTC,2021-03-27 04:44 UTC,2021-03-27 04:55 UTC,2021-03-27 05:07 UTC,2021-03-27 05:18 UTC,2021-03-27 05:29 UTC,2021-03-27 05:40 UTC,2021-03-27 05:51 UTC,2021-03-27 06:02 UTC,2021-03-27 06:13 UTC,2021-03-27 06:24 UTC,2021-03-27 06:35 UTC,2021-03-27 06:46 UTC,2021-03-27 06:57 UTC,2021-03-27 07:08 UTC,2021-03-27 07:20 UTC,2021-03-27 07:31 UTC,2021-03-27 07:42 UTC,2021-03-27 07:53 UTC,2021-03-27 08:04 UTC,2021-03-27 08:15 UTC,2021-03-27 08:26 UTC,2021-03-27 08:37 UTC,2021-03-27 08:48 UTC,2021-03-27 08:59 UTC,2021-03-27 09:10 UTC,2021-03-27 09:21 UTC,2021-03-27 09:32 UTC,2021-03-27 09:44 UTC,2021-03-27 09:56 UTC,2021-03-27 10:07 UTC,2021-03-27 10:18 UTC,2021-03-27 10:29 UTC,2021-03-27 10:40 UTC,2021-03-27 10:51 UTC,2021-03-27 11:02 UTC,2021-03-27 11:13 UTC,2021-03-27 11:24 UTC,2021-03-27 11:35 UTC,2021-03-27 11:46 UTC,2021-03-27 11:57 UTC,2021-03-27 12:08 UTC,2021-03-27 12:19 UTC,2021-03-27 12:30 UTC,2021-03-27 12:41 UTC,2021-03-27 12:52 UTC,2021-03-27 13:03 UTC,2021-03-27 13:15 UTC,2021-03-27 13:26 UTC,2021-03-27 13:37 UTC,2021-03-27 13:48 UTC,2021-03-27 13:59 UTC,2021-03-27 14:10 UTC,2021-03-27 14:21 UTC,2021-03-27 14:32 UTC,2021-03-27 14:43 UTC,2021-03-27 14:54 UTC,2021-03-27 15:05 UTC,2021-03-27 15:16 UTC,2021-03-27 15:27 UTC,2021-03-27 15:38 UTC,2021-03-27 15:49 UTC,2021-03-27 16:00 UTC,2021-03-27 16:49 UTC
Novato,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oakhurst,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oakland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oceanside,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ontario,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Orange,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Orangevale,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Orinda,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oroville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Oxnard,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Palm Desert,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Palm Springs,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Palmdale,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Palo Alto,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
